70440.4,43.5 14.7 5.42 1
61580.5,30.8 8.8 0.61 2
67479.8,32.3 10.3 8.25 2
67588.3,43.4 1.8 7.40 1
69241.9,36.6 7.2 5.20 2
51197.7,32.7 10.7 0.34 0
62394.0,39.3 4.1 3.72 1
81243.0,44.4 14.4 8.80 2
71430.6,38.2 8.7 5.08 2
70555.6,44.1 16.1 3.27 1
69768.4,36.6 4.2 8.13 2
74728.5,41.4 13.7 2.40 2
61946.1,38.1 3.5 5.66 1
65984.4,41.4 15.0 0.06 1
51901.4,32.4 9.7 3.25 0
65760.9,34.9 8.1 0.81 2
41054.7,22.6 0.6 6.48 0
73186.3,46.3 10.8 6.72 1
61182.1,39.5 17.3 3.19 0
57205.6,37.5 10.6 3.44 0
66973.8,33.4 11.4 4.86 2
61395.6,37.3 11.4 1.22 1
37870.8,21.0 0.0 3.88 0
44319.5,20.3 0.0 8.32 1
78813.8,46.1 2.2 8.27 2
69310.7,37.4 9.8 2.04 2
67404.2,37.3 6.6 0.40 2
93604.5,58.9 7.3 8.87 2
74004.6,49.0 19.2 8.42 0
71036.9,35.7 10.6 8.39 2
66169.0,32.5 9.3 5.91 2
55200.1,36.9 6.8 2.15 0
78355.5,52.2 11.2 5.57 1
63981.6,39.5 9.2 3.69 1
87701.5,53.7 7.7 7.11 2
54884.2,31.1 9.1 2.04 1
68863.1,47.6 6.6 8.77 0
65201.7,41.0 3.4 6.44 1
76282.8,41.5 8.9 8.24 2
70497.5,37.2 11.0 3.98 2
65382.8,30.4 8.4 9.02 2
75933.2,50.7 9.4 4.42 1
73933.9,50.4 10.7 0.31 1
75512.4,41.7 12.2 4.17 2
60707.4,36.2 4.1 6.54 1
66064.9,33.4 2.7 7.83 2
66525.9,45.2 1.8 1.94 1
50455.7,26.8 3.8 5.01 1
61441.5,41.5 12.1 2.53 0
60096.5,36.1 11.0 1.50 1
62936.4,32.4 8.0 0.38 2
79231.0,52.1 13.2 6.47 1
63936.7,30.7 8.7 5.61 2
74381.5,51.6 10.0 9.50 0
72927.3,40.6 7.6 3.99 2
73459.1,49.1 12.0 1.58 1
65517.5,39.2 12.6 5.30 1
65136.3,45.8 7.7 4.44 0
66245.5,34.4 10.4 1.00 2
58318.7,35.4 13.4 7.85 0
54625.0,32.0 0.0 4.99 1
76415.3,42.7 4.0 8.86 2
43743.3,26.6 4.6 1.53 0
69379.0,42.4 9.2 8.25 1
42083.8,25.7 3.7 0.69 0
56659.7,37.6 9.2 2.62 0
48235.7,30.4 8.4 0.14 0
58279.8,33.3 8.9 4.96 1
76583.2,41.7 11.1 6.95 2
77134.7,44.5 8.2 4.09 2
67448.0,34.1 12.1 3.17 2
73246.6,56.9 2.9 0.99 0
68861.0,49.2 7.2 4.94 0
50087.7,32.4 9.2 0.22 0
89498.1,53.6 13.1 7.64 2
56260.1,31.2 9.2 4.51 1
65413.7,35.0 7.2 0.25 2
83942.6,53.0 9.2 0.13 2
55086.6,24.1 2.1 5.04 2
67275.4,44.8 12.1 7.96 0
63061.5,44.1 10.7 1.32 0
70136.2,47.2 5.7 2.63 1
79736.1,48.2 6.3 3.62 2
61612.2,39.5 7.5 9.72 0
89939.5,54.6 9.0 9.20 2
40420.6,18.6 0.0 3.92 1
67769.5,33.4 11.4 6.05 2
75233.0,51.6 8.3 2.28 1
81465.1,48.0 9.5 5.37 2
63140.3,29.0 7.0 8.54 2
56771.8,39.2 8.6 0.15 0
51976.1,32.0 10.0 3.97 0
60648.6,40.6 11.0 3.82 0
49548.0,28.5 2.2 0.61 1
67379.9,33.1 6.2 8.88 2
57351.4,30.0 8.0 9.60 1
56012.0,36.8 7.1 4.00 0
59183.4,43.1 0.0 2.60 0
68132.0,49.1 11.5 0.79 0
43945.6,23.4 1.4 0.03 1
74015.8,47.5 12.8 5.64 1
81090.6,60.8 12.9 2.35 0
61755.6,41.3 0.0 1.15 1
50562.5,18.3 0.0 8.97 2
69995.8,41.4 0.0 1.15 2
85840.2,53.7 8.4 3.11 2
134945.0,50.1 13.5 5.90 2
57324.8,36.1 14.1 4.13 0
63519.9,43.6 10.0 3.77 0
81247.5,44.5 22.5 4.35 2
123010.2,37.3 13.2 7.23 2
102901.1,29.3 7.3 2.77 1
57306.3,37.2 8.8 5.06 0
71834.3,49.2 5.6 2.51 1
53458.1,33.8 11.8 2.35 0
81366.6,53.0 12.1 9.27 1
78858.8,51.2 14.7 6.36 1
59086.0,37.1 4.6 1.21 1
73798.1,54.9 10.4 1.62 0
50003.1,28.3 6.3 9.46 0
70553.7,35.0 8.4 9.95 2
68611.1,47.6 16.9 2.23 0
34032.3,66.1 2.8 6.55 0
53179.4,30.5 7.2 1.05 1
64723.1,33.1 8.3 2.22 2
54795.8,24.0 2.0 4.50 2
55509.8,37.3 8.1 1.43 0
65653.9,42.2 0.0 6.88 1
75855.9,41.0 8.7 8.47 2
68932.0,44.7 6.9 4.68 1
74621.6,44.2 0.0 4.65 2
56137.3,34.3 6.8 9.48 0
70612.6,49.2 11.5 6.19 0
66110.7,48.7 2.5 3.33 0
61298.9,41.5 13.6 1.29 0
50685.7,35.6 0.0 0.37 0
74015.8,40.5 5.1 8.41 2
54128.2,34.4 2.7 7.47 0
47176.6,29.7 4.9 2.28 0
58610.4,35.5 13.5 8.41 0
61064.7,28.9 6.9 3.71 2
65323.2,42.5 10.1 9.43 0
